events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,62.0
Production started,1,Cash 1,0,62.0
Production complete,1,Cash 1,0,231.0685705644783
Creation,2,Regular Customers Source,0,176.0
Production started,2,Cash 2,0,176.0
Production complete,2,Cash 2,0,279.095742483691
Creation,3,Regular Customers Source,0,132.0
Production started,3,Cash 1,0,231.0685705644783
Production complete,3,Cash 1,0,418.79564518728574
Creation,4,Regular Customers Source,0,300.0
Production started,4,Cash 2,0,300.0
Production complete,4,Cash 2,0,542.9095196556998
Creation,5,Regular Customers Source,0,358.0
Production started,5,Cash 2,0,542.9095196556998
Production complete,5,Cash 2,0,587.4208423587297
Creation,6,Service Customers Source,1,284.0
Production started,6,Service Desk,1,284.0
Production complete,6,Service Desk,1,596.86218075639
Creation,7,Regular Customers Source,0,241.0
Production started,7,Cash 1,0,418.79564518728574
Production complete,7,Cash 1,0,668.1707284932814
Creation,8,Regular Customers Source,0,603.0
Production started,8,Cash 2,0,603.0
Production complete,8,Cash 2,0,739.9122165141947
Creation,9,Regular Customers Source,0,419.0
Production started,9,Cash 1,0,668.1707284932814
Production complete,9,Cash 1,0,774.5944892242915
Creation,10,Service Customers Source,1,576.0
Production started,10,Service Desk,1,596.86218075639
Production complete,10,Service Desk,1,841.7130310984584
Creation,11,Regular Customers Source,0,534.0
Production started,11,Cash 1,0,774.5944892242915
Production complete,11,Cash 1,0,889.8669746733196
Creation,12,Regular Customers Source,0,465.0
Production started,12,Service Desk,0,841.7130310984584
Production complete,12,Service Desk,0,926.8722122547342
Creation,13,Regular Customers Source,0,672.0
Production started,13,Cash 2,0,739.9122165141947
Production complete,13,Cash 2,0,985.199459657835
Creation,14,Regular Customers Source,0,787.0
Production started,14,Cash 2,0,985.199459657835
Production complete,14,Cash 2,0,1051.216764454317
Creation,15,Regular Customers Source,0,729.0
Production started,15,Cash 1,0,889.8669746733196
Production complete,15,Cash 1,0,1087.8984771338469
Creation,16,Service Customers Source,1,862.0
Production started,16,Service Desk,1,926.8722122547342
Production complete,16,Service Desk,1,1116.8732010454983
Creation,17,Regular Customers Source,0,907.0
Production started,17,Cash 1,0,1087.8984771338469
Production complete,17,Cash 1,0,1242.3642189361149
Creation,18,Regular Customers Source,0,1012.0
Production started,18,Cash 2,0,1051.216764454317
Production complete,18,Cash 2,0,1266.6593378534308
Creation,19,Regular Customers Source,0,846.0
Production started,19,Service Desk,0,1116.8732010454983
Production complete,19,Service Desk,0,1294.514637931762
Creation,20,Regular Customers Source,0,1082.0
Production started,20,Cash 2,0,1266.6593378534308
Production complete,20,Cash 2,0,1492.8628062865027
Creation,21,Regular Customers Source,0,1280.0
Production started,21,Cash 2,0,1492.8628062865027
Production complete,21,Cash 2,0,1513.0689836957217
Creation,22,Regular Customers Source,0,955.0
Production started,22,Cash 1,0,1242.3642189361149
Production complete,22,Cash 1,0,1568.8345756240224
Creation,23,Service Customers Source,1,1174.0
Production started,23,Service Desk,1,1294.514637931762
Production complete,23,Service Desk,1,1593.8722570642594
Creation,24,Regular Customers Source,0,1407.0
Production started,24,Cash 2,0,1513.0689836957217
Production complete,24,Cash 2,0,1688.3984406073141
Creation,25,Regular Customers Source,0,1210.0
Production started,25,Cash 1,0,1568.8345756240224
Production complete,25,Cash 1,0,1747.3030095045558
Creation,26,Regular Customers Source,0,1346.0
Production started,26,Cash 1,0,1747.3030095045558
Production complete,26,Cash 1,0,1770.6278734360053
Creation,27,Regular Customers Source,0,1533.0
Production started,27,Cash 2,0,1688.3984406073141
Production complete,27,Cash 2,0,1851.7171853078798
Creation,28,Service Customers Source,1,1512.0
Production started,28,Service Desk,1,1593.8722570642594
Production complete,28,Service Desk,1,1856.3260474459923
Creation,29,Regular Customers Source,0,1581.0
Production started,29,Cash 1,0,1770.6278734360053
Production complete,29,Cash 1,0,2024.7699777422904
Creation,30,Regular Customers Source,0,1632.0
Production started,30,Cash 2,0,1851.7171853078798
Production complete,30,Cash 2,0,2091.6744914723813
Creation,31,Regular Customers Source,0,1681.0
Production started,31,Cash 1,0,2024.7699777422904
Production complete,31,Cash 1,0,2123.027836511262
Creation,32,Regular Customers Source,0,1800.0
Production started,32,Cash 1,0,2123.027836511262
Production complete,32,Cash 1,0,2224.116405084029
Creation,33,Service Customers Source,1,1840.0
Production started,33,Service Desk,1,1856.3260474459923
Production complete,33,Service Desk,1,2230.5854609417947
Creation,34,Regular Customers Source,0,1744.0
Production started,34,Cash 2,0,2091.6744914723813
Production complete,34,Cash 2,0,2257.113474549097
Creation,35,Regular Customers Source,0,1899.0
Production started,35,Cash 2,0,2257.113474549097
Production complete,35,Cash 2,0,2406.3234734933026
Creation,36,Regular Customers Source,0,1847.0
Production started,36,Cash 1,0,2224.116405084029
Production complete,36,Cash 1,0,2461.3389820705665
Creation,37,Service Customers Source,1,2118.0
Production started,37,Service Desk,1,2230.5854609417947
Production complete,37,Service Desk,1,2512.916873696715
Creation,38,Regular Customers Source,0,1964.0
Production started,38,Cash 2,0,2406.3234734933026
Production complete,38,Cash 2,0,2574.7531194763424
Creation,39,Regular Customers Source,0,2029.0
Production started,39,Cash 1,0,2461.3389820705665
Production complete,39,Cash 1,0,2685.2997263792195
Creation,40,Service Customers Source,1,2416.0
Production started,40,Service Desk,1,2512.916873696715
Production complete,40,Service Desk,1,2694.8838967798624
Creation,41,Regular Customers Source,0,2190.0
Production started,41,Cash 2,0,2574.7531194763424
Production complete,41,Cash 2,0,2725.1113933989177
Creation,42,Regular Customers Source,0,2684.0
Production started,42,Cash 3,0,2684.0
Production complete,42,Cash 3,0,2726.6320631313947
Creation,43,Regular Customers Source,0,1145.0
Production started,43,Service Desk,0,2694.8838967798624
Production complete,43,Service Desk,0,2789.772199210959
Creation,44,Regular Customers Source,0,2136.0
Production started,44,Cash 1,0,2685.2997263792195
Production complete,44,Cash 1,0,2903.505354730883
Creation,45,Regular Customers Source,0,2313.0
Production started,45,Cash 2,0,2725.1113933989177
Production complete,45,Cash 2,0,2964.328044166834
Creation,46,Service Customers Source,1,2716.0
Production started,46,Service Desk,1,2789.772199210959
Production complete,46,Service Desk,1,3045.6324342950247
Creation,47,Regular Customers Source,0,2252.0
Production started,47,Cash 1,0,2903.505354730883
Production complete,47,Cash 1,0,3082.1653562052174
Creation,48,Regular Customers Source,0,3025.0
Production started,48,Cash 3,0,3025.0
Production complete,48,Cash 3,0,3120.742827876923
Creation,49,Regular Customers Source,0,2370.0
Production started,49,Cash 1,0,3082.1653562052174
Production complete,49,Cash 1,0,3194.6918037407227
Creation,50,Regular Customers Source,0,2413.0
Production started,50,Cash 2,0,2964.328044166834
Production complete,50,Cash 2,0,3198.3976630182665
Creation,51,Service Customers Source,1,3010.0
Production started,51,Service Desk,1,3045.6324342950247
Production complete,51,Service Desk,1,3292.5054278012553
Creation,52,Regular Customers Source,0,3144.0
Production started,52,Cash 3,0,3144.0
Production complete,52,Cash 3,0,3336.8535003468673
Creation,53,Regular Customers Source,0,2523.0
Production started,53,Cash 2,0,3198.3976630182665
Production complete,53,Cash 2,0,3409.0765096599744
Creation,54,Regular Customers Source,0,2469.0
Production started,54,Cash 1,0,3194.6918037407227
Production complete,54,Cash 1,0,3413.864487342583
Creation,55,Regular Customers Source,0,3325.0
Production started,55,Cash 3,0,3336.8535003468673
Production complete,55,Cash 3,0,3424.929089181326
Creation,56,Regular Customers Source,0,1467.0
Production started,56,Service Desk,0,3292.5054278012553
Production complete,56,Service Desk,0,3557.9802359867267
Creation,57,Regular Customers Source,0,3384.0
Production started,57,Cash 3,0,3424.929089181326
Production complete,57,Cash 3,0,3579.8999510061576
Creation,58,Regular Customers Source,0,2633.0
Production started,58,Cash 2,0,3409.0765096599744
Production complete,58,Cash 2,0,3653.1896652284095
Creation,59,Regular Customers Source,0,2749.0
Production started,59,Cash 1,0,3413.864487342583
Production complete,59,Cash 1,0,3731.2541678499547
Creation,60,Regular Customers Source,0,3625.0
Production started,60,Cash 3,0,3625.0
Production complete,60,Cash 3,0,3782.7901325090243
Creation,61,Regular Customers Source,0,2915.0
Production started,61,Cash 1,0,3731.2541678499547
Production complete,61,Cash 1,0,3818.6433610315244
Creation,62,Service Customers Source,1,3322.0
Production started,62,Service Desk,1,3557.9802359867267
Production complete,62,Service Desk,1,3936.370674313823
Creation,63,Regular Customers Source,0,2810.0
Production started,63,Cash 2,0,3653.1896652284095
Production complete,63,Cash 2,0,3992.011509132407
Creation,64,Regular Customers Source,0,2972.0
Production started,64,Cash 2,0,3992.011509132407
Production complete,64,Cash 2,0,4053.6764649390716
Creation,65,Regular Customers Source,0,3815.0
Production started,65,Cash 3,0,3815.0
Production complete,65,Cash 3,0,4088.526150207478
Creation,66,Service Customers Source,1,3618.0
Production started,66,Service Desk,1,3936.370674313823
Production complete,66,Service Desk,1,4118.012341235701
Creation,67,Regular Customers Source,0,3083.0
Production started,67,Cash 1,0,3818.6433610315244
Production complete,67,Cash 1,0,4120.69440955169
Creation,68,Regular Customers Source,0,3942.0
Production started,68,Cash 3,0,4088.526150207478
Production complete,68,Cash 3,0,4278.365975946112
Creation,69,Regular Customers Source,0,3274.0
Production started,69,Cash 2,0,4053.6764649390716
Production complete,69,Cash 2,0,4300.950085924875
Creation,70,Service Customers Source,1,3924.0
Production started,70,Service Desk,1,4118.012341235701
Production complete,70,Service Desk,1,4335.273488878432
Creation,71,Regular Customers Source,0,3208.0
Production started,71,Cash 1,0,4120.69440955169
Production complete,71,Cash 1,0,4402.54412436902
Creation,72,Regular Customers Source,0,3996.0
Production started,72,Cash 3,0,4278.365975946112
Production complete,72,Cash 3,0,4424.984148373412
Creation,73,Regular Customers Source,0,3506.0
Production started,73,Cash 2,0,4300.950085924875
Production complete,73,Cash 2,0,4446.0067988422725
Creation,74,Regular Customers Source,0,4052.0
Production started,74,Cash 3,0,4424.984148373412
Production complete,74,Cash 3,0,4447.772319158107
Creation,75,Regular Customers Source,0,3453.0
Production started,75,Cash 1,0,4402.54412436902
Production complete,75,Cash 1,0,4531.606555875436
Creation,76,Regular Customers Source,0,4190.0
Production started,76,Cash 3,0,4447.772319158107
Production complete,76,Cash 3,0,4547.3245913356095
Creation,77,Service Customers Source,1,4218.0
Production started,77,Service Desk,1,4335.273488878432
Production complete,77,Service Desk,1,4593.101431828296
Creation,78,Regular Customers Source,0,3702.0
Production started,78,Cash 2,0,4446.0067988422725
Production complete,78,Cash 2,0,4684.234385065258
Creation,79,Regular Customers Source,0,3761.0
Production started,79,Cash 1,0,4531.606555875436
Production complete,79,Cash 1,0,4715.459855842777
Creation,80,Regular Customers Source,0,4363.0
Production started,80,Cash 3,0,4547.3245913356095
Production complete,80,Cash 3,0,4732.480595944211
Creation,81,Regular Customers Source,0,4120.0
Production started,81,Cash 2,0,4684.234385065258
Production complete,81,Cash 2,0,4796.761707501176
Creation,82,Regular Customers Source,0,4435.0
Production started,82,Cash 3,0,4732.480595944211
Production complete,82,Cash 3,0,4918.868385522013
Creation,83,Regular Customers Source,0,3880.0
Production started,83,Cash 1,0,4715.459855842777
Production complete,83,Cash 1,0,4948.696644905605
Creation,84,Regular Customers Source,0,4315.0
Production started,84,Cash 2,0,4796.761707501176
Production complete,84,Cash 2,0,4993.798118670712
Creation,85,Service Customers Source,1,4508.0
Production started,85,Service Desk,1,4593.101431828296
Production complete,85,Service Desk,1,4994.803181675123
Creation,86,Regular Customers Source,0,4563.0
Production started,86,Cash 3,0,4918.868385522013
Production complete,86,Cash 3,0,5106.535959656567
Creation,87,Regular Customers Source,0,4494.0
Production started,87,Cash 2,0,4993.798118670712
Production complete,87,Cash 2,0,5205.100345774285
Creation,88,Regular Customers Source,0,4254.0
Production started,88,Cash 1,0,4948.696644905605
Production complete,88,Cash 1,0,5214.799302446352
Creation,89,Regular Customers Source,0,4789.0
