events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,54.0
Production started,1,Cash 1,0,54.0
Production complete,1,Cash 1,0,224.0197569161076
Creation,2,Regular Customers Source,0,172.0
Production started,2,Cash 2,0,172.0
Production complete,2,Cash 2,0,283.8966926109989
Creation,3,Regular Customers Source,0,112.0
Production started,3,Cash 1,0,224.0197569161076
Production complete,3,Cash 1,0,318.0927391970156
Creation,4,Service Customers Source,1,316.0
Production started,4,Service Desk,1,316.0
Production complete,4,Service Desk,1,476.70165435343085
Creation,5,Regular Customers Source,0,292.0
Production started,5,Cash 2,0,292.0
Production complete,5,Cash 2,0,482.28665055207995
Creation,6,Regular Customers Source,0,227.0
Production started,6,Cash 1,0,318.0927391970156
Production complete,6,Cash 1,0,509.3817925275208
Creation,7,Regular Customers Source,0,349.0
Production started,7,Cash 1,0,509.3817925275208
Production complete,7,Cash 1,0,638.7059588462116
Creation,8,Service Customers Source,1,581.0
Production started,8,Service Desk,1,581.0
Production complete,8,Service Desk,1,738.823882952373
Creation,9,Regular Customers Source,0,420.0
Production started,9,Cash 2,0,482.28665055207995
Production complete,9,Cash 2,0,797.5437161369748
Creation,10,Regular Customers Source,0,614.0
Production started,10,Service Desk,0,738.823882952373
Production complete,10,Service Desk,0,863.4448112945115
Creation,11,Regular Customers Source,0,548.0
Production started,11,Cash 1,0,638.7059588462116
Production complete,11,Cash 1,0,897.1235014453594
Creation,12,Regular Customers Source,0,779.0
Production started,12,Service Desk,0,863.4448112945115
Production complete,12,Service Desk,0,1006.9145640218042
Creation,13,Regular Customers Source,0,487.0
Production started,13,Cash 2,0,797.5437161369748
Production complete,13,Cash 2,0,1041.2059527856566
Creation,14,Regular Customers Source,0,670.0
Production started,14,Cash 1,0,897.1235014453594
Production complete,14,Cash 1,0,1049.4601134270574
Creation,15,Regular Customers Source,0,827.0
Production started,15,Cash 2,0,1041.2059527856566
Production complete,15,Cash 2,0,1175.373360350711
Creation,16,Service Customers Source,1,897.0
Production started,16,Service Desk,1,1006.9145640218042
Production complete,16,Service Desk,1,1182.0048423180565
Creation,17,Regular Customers Source,0,725.0
Production started,17,Cash 1,0,1049.4601134270574
Production complete,17,Cash 1,0,1221.4467362796547
Creation,18,Regular Customers Source,0,888.0
Production started,18,Service Desk,0,1182.0048423180565
Production complete,18,Service Desk,0,1297.4148103773516
Creation,19,Regular Customers Source,0,940.0
Production started,19,Cash 1,0,1221.4467362796547
Production complete,19,Cash 1,0,1332.2778810704312
Creation,20,Regular Customers Source,0,998.0
Production started,20,Cash 2,0,1175.373360350711
Production complete,20,Cash 2,0,1343.729970377361
Creation,21,Regular Customers Source,0,1053.0
Production started,21,Cash 1,0,1332.2778810704312
Production complete,21,Cash 1,0,1539.2606258823416
Creation,22,Regular Customers Source,0,1122.0
Production started,22,Cash 2,0,1343.729970377361
Production complete,22,Cash 2,0,1557.2953180265827
Creation,23,Service Customers Source,1,1220.0
Production started,23,Service Desk,1,1297.4148103773516
Production complete,23,Service Desk,1,1632.84342826521
Creation,24,Regular Customers Source,0,1238.0
Production started,24,Cash 1,0,1539.2606258823416
Production complete,24,Cash 1,0,1662.4323615363892
Creation,25,Regular Customers Source,0,1359.0
Production started,25,Cash 1,0,1662.4323615363892
Production complete,25,Cash 1,0,1727.3183936996952
Creation,26,Regular Customers Source,0,1181.0
Production started,26,Cash 2,0,1557.2953180265827
Production complete,26,Cash 2,0,1759.1002287714869
Creation,27,Regular Customers Source,0,1519.0
Production started,27,Cash 1,0,1727.3183936996952
Production complete,27,Cash 1,0,1838.2583271172648
Creation,28,Service Customers Source,1,1519.0
Production started,28,Service Desk,1,1632.84342826521
Production complete,28,Service Desk,1,1924.3542944408355
Creation,29,Regular Customers Source,0,1419.0
Production started,29,Cash 2,0,1759.1002287714869
Production complete,29,Cash 2,0,1946.3918624829666
Creation,30,Regular Customers Source,0,1643.0
Production started,30,Cash 1,0,1838.2583271172648
