events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,54.0
Production started,1,Cash 1,0,54.0
Production complete,1,Cash 1,0,273.423254493812
Creation,2,Regular Customers Source,0,200.0
Production started,2,Cash 2,0,200.0
Production complete,2,Cash 2,0,347.0518118873015
Creation,3,Regular Customers Source,0,127.0
Production started,3,Cash 1,0,273.423254493812
Production complete,3,Cash 1,0,418.6992570538034
Creation,4,Regular Customers Source,0,260.0
Production started,4,Cash 2,0,347.0518118873015
Production complete,4,Cash 2,0,470.41384283826187
Creation,5,Regular Customers Source,0,383.0
Production started,5,Cash 2,0,470.41384283826187
Production complete,5,Cash 2,0,612.9419209182864
Creation,6,Service Customers Source,1,329.0
Production started,6,Service Desk,1,329.0
Production complete,6,Service Desk,1,632.4959998448204
Creation,7,Regular Customers Source,0,321.0
Production started,7,Cash 1,0,418.6992570538034
Production complete,7,Cash 1,0,645.5819411015902
Creation,8,Regular Customers Source,0,592.0
Production started,8,Service Desk,0,632.4959998448204
Production complete,8,Service Desk,0,699.2237134582695
Creation,9,Regular Customers Source,0,517.0
Production started,9,Cash 2,0,612.9419209182864
Production complete,9,Cash 2,0,857.5529900253698
Creation,10,Regular Customers Source,0,449.0
Production started,10,Cash 1,0,645.5819411015902
Production complete,10,Cash 1,0,882.313692954014
Creation,11,Regular Customers Source,0,670.0
Production started,11,Cash 1,0,882.313692954014
Production complete,11,Cash 1,0,1011.2276384418892
Creation,12,Regular Customers Source,0,722.0
Production started,12,Cash 2,0,857.5529900253698
Production complete,12,Cash 2,0,1086.9812076548942
Creation,13,Service Customers Source,1,656.0
Production started,13,Service Desk,1,699.2237134582695
Production complete,13,Service Desk,1,1089.8406040907043
Creation,14,Regular Customers Source,0,856.0
Production started,14,Cash 1,0,1011.2276384418892
Production complete,14,Cash 1,0,1187.4078462516145
Creation,15,Regular Customers Source,0,917.0
Production started,15,Cash 2,0,1086.9812076548942
Production complete,15,Cash 2,0,1221.5597976770991
Creation,16,Regular Customers Source,0,989.0
Production started,16,Cash 1,0,1187.4078462516145
Production complete,16,Cash 1,0,1332.8338400647212
Creation,17,Regular Customers Source,0,1108.0
Production started,17,Cash 2,0,1221.5597976770991
Production complete,17,Cash 2,0,1366.1185224402452
Creation,18,Regular Customers Source,0,1046.0
Production started,18,Cash 1,0,1332.8338400647212
Production complete,18,Cash 1,0,1419.6578946013224
Creation,19,Service Customers Source,1,984.0
Production started,19,Service Desk,1,1089.8406040907043
Production complete,19,Service Desk,1,1439.011695787679
Creation,20,Regular Customers Source,0,1228.0
Production started,20,Cash 1,0,1419.6578946013224
Production complete,20,Cash 1,0,1534.9509055489023
Creation,21,Service Customers Source,1,1278.0
Production started,21,Service Desk,1,1439.011695787679
Production complete,21,Service Desk,1,1576.7084402919436
Creation,22,Regular Customers Source,0,1163.0
Production started,22,Cash 2,0,1366.1185224402452
Production complete,22,Cash 2,0,1617.2634817566188
Creation,23,Regular Customers Source,0,789.0
Production started,23,Service Desk,0,1576.7084402919436
Production complete,23,Service Desk,0,1675.985750137128
Creation,24,Regular Customers Source,0,1345.0
Production started,24,Cash 1,0,1534.9509055489023
Production complete,24,Cash 1,0,1698.4727286033396
Creation,25,Regular Customers Source,0,1276.0
Production started,25,Cash 2,0,1617.2634817566188
Production complete,25,Cash 2,0,1715.9992540448764
Creation,26,Service Customers Source,1,1578.0
Production started,26,Service Desk,1,1675.985750137128
Production complete,26,Service Desk,1,1826.3357755877466
Creation,27,Regular Customers Source,0,1409.0
Production started,27,Cash 2,0,1715.9992540448764
Production complete,27,Cash 2,0,1900.4153013232553
Creation,28,Regular Customers Source,0,1471.0
Production started,28,Cash 1,0,1698.4727286033396
Production complete,28,Cash 1,0,1965.1108790865883
Creation,29,Regular Customers Source,0,1531.0
Production started,29,Service Desk,0,1826.3357755877466
Production complete,29,Service Desk,0,1999.0697209878401
Creation,30,Regular Customers Source,0,1648.0
