events,numbers,stations,serviceCustomer,times
Production started,42,Cash 1,0,2268.352010290533
Production complete,42,Cash 1,0,2496.891114272888
Creation,43,Regular Customers Source,0,2220.0
Production started,43,Cash 1,0,2496.891114272888
Production complete,43,Cash 1,0,2512.6864125065454
Creation,44,Regular Customers Source,0,2319.0
Production started,44,Cash 2,0,2419.613010169873
Production complete,44,Cash 2,0,2551.879716834891
Creation,45,Regular Customers Source,0,2386.0
Production started,45,Service Desk,0,2407.68005413886
Production complete,45,Service Desk,0,2555.6475482707538
Creation,46,Regular Customers Source,0,2506.0
Production started,46,Cash 1,0,2512.6864125065454
Production complete,46,Cash 1,0,2669.2362198034525
Creation,47,Regular Customers Source,0,2453.0
Production started,47,Cash 2,0,2551.879716834891
Production complete,47,Cash 2,0,2688.6192375948176
Creation,48,Service Customers Source,1,2516.0
Production started,48,Service Desk,1,2555.6475482707538
Production complete,48,Service Desk,1,2763.586895471571
Creation,49,Regular Customers Source,0,2573.0
Production started,49,Cash 1,0,2669.2362198034525
Production complete,49,Cash 1,0,2822.9345177067366
Creation,50,Regular Customers Source,0,2790.0
Production started,50,Service Desk,0,2790.0
Production complete,50,Service Desk,0,2891.9170471532134
Creation,51,Regular Customers Source,0,2671.0
Production started,51,Cash 1,0,2822.9345177067366
Production complete,51,Cash 1,0,2897.940184332867
Creation,52,Regular Customers Source,0,2618.0
Production started,52,Cash 2,0,2688.6192375948176
Production complete,52,Cash 2,0,2904.1824597253144
Creation,53,Regular Customers Source,0,2732.0
Production started,53,Cash 2,0,2904.1824597253144
Production complete,53,Cash 2,0,3034.2717190310796
Creation,54,Service Customers Source,1,2827.0
Production started,54,Service Desk,1,2891.9170471532134
Production complete,54,Service Desk,1,3072.715226680608
Creation,55,Regular Customers Source,0,3022.0
Production started,55,Service Desk,0,3072.715226680608
Production complete,55,Service Desk,0,3081.3823579980867
Creation,56,Regular Customers Source,0,2965.0
Production started,56,Cash 2,0,3034.2717190310796
Production complete,56,Cash 2,0,3088.3537935020945
Creation,57,Regular Customers Source,0,2852.0
Production started,57,Cash 1,0,2897.940184332867
Production complete,57,Cash 1,0,3137.1285990220567
Creation,58,Regular Customers Source,0,3066.0
Production started,58,Cash 2,0,3088.3537935020945
Production complete,58,Cash 2,0,3211.703894393683
Creation,59,Regular Customers Source,0,2907.0
Production started,59,Cash 1,0,3137.1285990220567
Production complete,59,Cash 1,0,3354.5228435296085
Creation,60,Regular Customers Source,0,3124.0
Production started,60,Cash 2,0,3211.703894393683
Production complete,60,Cash 2,0,3381.3507357505796
