events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,64.0
Production started,1,Cash 1,0,64.0
Production complete,1,Cash 1,0,196.99178092534
Creation,2,Regular Customers Source,0,123.0
Production started,2,Cash 1,0,196.99178092534
Production complete,2,Cash 1,0,270.9120872550293
Creation,3,Regular Customers Source,0,253.0
Production started,3,Cash 1,0,270.9120872550293
Production complete,3,Cash 1,0,292.77710459696743
Creation,4,Regular Customers Source,0,185.0
Production started,4,Cash 2,0,185.0
Production complete,4,Cash 2,0,387.8073915848988
Creation,5,Regular Customers Source,0,432.0
Production started,5,Cash 2,0,432.0
Production complete,5,Cash 2,0,490.25771142267274
Creation,6,Service Customers Source,1,290.0
Production started,6,Service Desk,1,290.0
Production complete,6,Service Desk,1,532.3695884626579
Creation,7,Regular Customers Source,0,323.0
Production started,7,Cash 1,0,323.0
Production complete,7,Cash 1,0,553.1959015840011
Creation,8,Regular Customers Source,0,374.0
Production started,8,Cash 1,0,553.1959015840011
Production complete,8,Cash 1,0,570.6077201593541
Creation,9,Regular Customers Source,0,494.0
Production started,9,Cash 2,0,494.0
Production complete,9,Cash 2,0,589.6017228282827
Creation,10,Regular Customers Source,0,568.0
Production started,10,Cash 1,0,570.6077201593541
Production complete,10,Cash 1,0,730.8216832601305
Creation,11,Service Customers Source,1,568.0
Production started,11,Service Desk,1,568.0
Production complete,11,Service Desk,1,856.7892051365654
Creation,12,Regular Customers Source,0,619.0
Production started,12,Cash 1,0,730.8216832601305
Production complete,12,Cash 1,0,877.6803463794678
Creation,13,Regular Customers Source,0,676.0
Production started,13,Cash 2,0,676.0
Production complete,13,Cash 2,0,959.8682230891221
Creation,14,Regular Customers Source,0,736.0
Production started,14,Cash 1,0,877.6803463794678
Production complete,14,Cash 1,0,988.1486957917305
Creation,15,Regular Customers Source,0,796.0
Production started,15,Cash 2,0,959.8682230891221
Production complete,15,Cash 2,0,1068.1129801522577
Creation,16,Regular Customers Source,0,857.0
Production started,16,Service Desk,0,857.0
Production complete,16,Service Desk,0,1068.7133102179323
Creation,17,Regular Customers Source,0,976.0
Production started,17,Cash 2,0,1068.1129801522577
Production complete,17,Cash 2,0,1219.8108936809758
Creation,18,Regular Customers Source,0,920.0
Production started,18,Cash 1,0,988.1486957917305
Production complete,18,Cash 1,0,1236.5028777805153
Creation,19,Service Customers Source,1,909.0
Production started,19,Service Desk,1,1068.7133102179323
Production complete,19,Service Desk,1,1321.3048975503564
Creation,20,Regular Customers Source,0,1102.0
Production started,20,Cash 2,0,1219.8108936809758
Production complete,20,Cash 2,0,1350.6514510615848
Creation,21,Regular Customers Source,0,1030.0
Production started,21,Cash 1,0,1236.5028777805153
Production complete,21,Cash 1,0,1451.2059949004254
Creation,22,Regular Customers Source,0,1290.0
Production started,22,Cash 2,0,1350.6514510615848
Production complete,22,Cash 2,0,1547.6475871427938
Creation,23,Service Customers Source,1,1192.0
Production started,23,Service Desk,1,1321.3048975503564
Production complete,23,Service Desk,1,1580.2159788055133
Creation,24,Regular Customers Source,0,1242.0
Production started,24,Cash 1,0,1451.2059949004254
Production complete,24,Cash 1,0,1626.0031171923688
Creation,25,Regular Customers Source,0,1396.0
Production started,25,Cash 2,0,1547.6475871427938
Production complete,25,Cash 2,0,1659.9718194985924
Creation,26,Regular Customers Source,0,1346.0
Production started,26,Cash 1,0,1626.0031171923688
Production complete,26,Cash 1,0,1692.5470308918723
Creation,27,Regular Customers Source,0,1516.0
Production started,27,Cash 2,0,1659.9718194985924
Production complete,27,Cash 2,0,1739.7882833059402
Creation,28,Regular Customers Source,0,1453.0
Production started,28,Cash 1,0,1692.5470308918723
Production complete,28,Cash 1,0,1859.7350932903632
Creation,29,Service Customers Source,1,1511.0
Production started,29,Service Desk,1,1580.2159788055133
Production complete,29,Service Desk,1,1890.7966492026922
Creation,30,Regular Customers Source,0,1573.0
Production started,30,Cash 2,0,1739.7882833059402
Production complete,30,Cash 2,0,1927.4565432967406
Creation,31,Regular Customers Source,0,1628.0
Production started,31,Cash 1,0,1859.7350932903632
Production complete,31,Cash 1,0,2056.186933638049
Creation,32,Service Customers Source,1,1814.0
Production started,32,Service Desk,1,1890.7966492026922
Production complete,32,Service Desk,1,2145.139629839375
Creation,33,Regular Customers Source,0,1689.0
Production started,33,Cash 2,0,1927.4565432967406
Production complete,33,Cash 2,0,2166.876153070065
Creation,34,Regular Customers Source,0,1755.0
Production started,34,Cash 1,0,2056.186933638049
Production complete,34,Cash 1,0,2249.4071606965013
Creation,35,Regular Customers Source,0,1845.0
Production started,35,Cash 2,0,2166.876153070065
Production complete,35,Cash 2,0,2312.068957337625
Creation,36,Service Customers Source,1,2125.0
Production started,36,Service Desk,1,2145.139629839375
Production complete,36,Service Desk,1,2344.254420001013
Creation,37,Regular Customers Source,0,1962.0
Production started,37,Cash 2,0,2312.068957337625
Production complete,37,Cash 2,0,2447.480266733326
Creation,38,Regular Customers Source,0,1910.0
Production started,38,Cash 1,0,2249.4071606965013
Production complete,38,Cash 1,0,2481.133372142539
Creation,39,Regular Customers Source,0,2190.0
Production started,39,Cash 2,0,2447.480266733326
Production complete,39,Cash 2,0,2491.3475775858824
Creation,40,Regular Customers Source,0,1174.0
Production started,40,Service Desk,0,2344.254420001013
Production complete,40,Service Desk,0,2509.057692381837
Creation,41,Regular Customers Source,0,2247.0
Production started,41,Cash 2,0,2491.3475775858824
Production complete,41,Cash 2,0,2560.130868814727
Creation,42,Regular Customers Source,0,2070.0
Production started,42,Cash 1,0,2481.133372142539
Production complete,42,Cash 1,0,2615.2231237174947
Creation,43,Regular Customers Source,0,2136.0
Production started,43,Cash 1,0,2615.2231237174947
Production complete,43,Cash 1,0,2647.385704286614
Creation,44,Regular Customers Source,0,2307.0
Production started,44,Cash 1,0,2647.385704286614
Production complete,44,Cash 1,0,2710.9955518609727
Creation,45,Regular Customers Source,0,2426.0
Production started,45,Cash 2,0,2560.130868814727
Production complete,45,Cash 2,0,2745.4166347962127
Creation,46,Regular Customers Source,0,2525.0
Production started,46,Cash 1,0,2710.9955518609727
Production complete,46,Cash 1,0,2852.8945403334783
Creation,47,Service Customers Source,1,2412.0
Production started,47,Service Desk,1,2509.057692381837
Production complete,47,Service Desk,1,2920.5828553862025
Creation,48,Regular Customers Source,0,2478.0
Production started,48,Cash 2,0,2745.4166347962127
Production complete,48,Cash 2,0,2953.1977907171886
Creation,49,Regular Customers Source,0,2653.0
Production started,49,Cash 1,0,2852.8945403334783
Production complete,49,Cash 1,0,3057.5610362918865
Creation,50,Service Customers Source,1,2714.0
Production started,50,Service Desk,1,2920.5828553862025
Production complete,50,Service Desk,1,3075.843794188896
Creation,51,Regular Customers Source,0,2717.0
Production started,51,Cash 1,0,3057.5610362918865
Production complete,51,Cash 1,0,3210.904829976963
Creation,52,Regular Customers Source,0,2592.0
Production started,52,Cash 2,0,2953.1977907171886
Production complete,52,Cash 2,0,3214.3184208131256
Creation,53,Regular Customers Source,0,2780.0
Production started,53,Cash 2,0,3214.3184208131256
Production complete,53,Cash 2,0,3366.326413264588
Creation,54,Service Customers Source,1,3005.0
Production started,54,Service Desk,1,3075.843794188896
Production complete,54,Service Desk,1,3377.3913623967123
Creation,55,Regular Customers Source,0,2849.0
Production started,55,Cash 1,0,3210.904829976963
Production complete,55,Cash 1,0,3388.531953487297
Creation,56,Regular Customers Source,0,2976.0
Production started,56,Cash 2,0,3366.326413264588
Production complete,56,Cash 2,0,3521.9226670669254
Creation,57,Service Customers Source,1,3300.0
Production started,57,Service Desk,1,3377.3913623967123
Production complete,57,Service Desk,1,3570.096117928569
Creation,58,Regular Customers Source,0,2900.0
Production started,58,Cash 1,0,3388.531953487297
Production complete,58,Cash 1,0,3583.2689239125357
Creation,59,Regular Customers Source,0,3083.0
Production started,59,Cash 1,0,3583.2689239125357
Production complete,59,Cash 1,0,3669.2152590951728
Creation,60,Regular Customers Source,0,2015.0
Production started,60,Service Desk,0,3570.096117928569
Production complete,60,Service Desk,0,3701.333888946238
Creation,61,Regular Customers Source,0,3037.0
Production started,61,Cash 2,0,3521.9226670669254
Production complete,61,Cash 2,0,3792.0169794137614
Creation,62,Regular Customers Source,0,3217.0
Production started,62,Cash 1,0,3669.2152590951728
Production complete,62,Cash 1,0,3836.111537554001
Creation,63,Regular Customers Source,0,3328.0
Production started,63,Cash 1,0,3836.111537554001
Production complete,63,Cash 1,0,3917.99404977445
Creation,64,Service Customers Source,1,3627.0
Production started,64,Service Desk,1,3701.333888946238
Production complete,64,Service Desk,1,3952.3784807242305
Creation,65,Regular Customers Source,0,3272.0
Production started,65,Cash 2,0,3792.0169794137614
Production complete,65,Cash 2,0,3995.7313156966447
Creation,66,Regular Customers Source,0,3450.0
Production started,66,Cash 1,0,3917.99404977445
Production complete,66,Cash 1,0,4102.795822402287
Creation,67,Regular Customers Source,0,3632.0
Production started,67,Cash 1,0,4102.795822402287
Production complete,67,Cash 1,0,4190.134609604165
Creation,68,Regular Customers Source,0,3393.0
Production started,68,Cash 2,0,3995.7313156966447
Production complete,68,Cash 2,0,4199.144704707017
Creation,69,Regular Customers Source,0,3702.0
Production started,69,Cash 1,0,4190.134609604165
Production complete,69,Cash 1,0,4371.380105092114
Creation,70,Regular Customers Source,0,4158.0
Production started,70,Cash 3,0,4158.0
Production complete,70,Cash 3,0,4372.572574548458
Creation,71,Service Customers Source,1,3906.0
Production started,71,Service Desk,1,3952.3784807242305
Production complete,71,Service Desk,1,4418.011596175667
Creation,72,Regular Customers Source,0,3510.0
Production started,72,Cash 2,0,4199.144704707017
Production complete,72,Cash 2,0,4424.575462409928
Creation,73,Regular Customers Source,0,3869.0
Production started,73,Cash 1,0,4371.380105092114
Production complete,73,Cash 1,0,4523.548715231986
Creation,74,Regular Customers Source,0,4347.0
Production started,74,Cash 3,0,4372.572574548458
Production complete,74,Cash 3,0,4537.654360278255
Creation,75,Regular Customers Source,0,3749.0
Production started,75,Cash 2,0,4424.575462409928
Production complete,75,Cash 2,0,4556.358832482028
Creation,76,Service Customers Source,1,4206.0
Production started,76,Service Desk,1,4418.011596175667
Production complete,76,Service Desk,1,4632.515783601354
Creation,77,Regular Customers Source,0,3803.0
Production started,77,Cash 2,0,4556.358832482028
Production complete,77,Cash 2,0,4673.965301864854
Creation,78,Regular Customers Source,0,3927.0
Production started,78,Cash 1,0,4523.548715231986
Production complete,78,Cash 1,0,4697.35220521272
Creation,79,Regular Customers Source,0,4516.0
Production started,79,Cash 3,0,4537.654360278255
Production complete,79,Cash 3,0,4717.126111123395
Creation,80,Regular Customers Source,0,4000.0
Production started,80,Cash 2,0,4673.965301864854
Production complete,80,Cash 2,0,4810.632178897241
Creation,81,Regular Customers Source,0,4666.0
Production started,81,Cash 3,0,4717.126111123395
Production complete,81,Cash 3,0,4825.81218890516
Creation,82,Regular Customers Source,0,4110.0
Production started,82,Cash 1,0,4697.35220521272
Production complete,82,Cash 1,0,4907.306681738371
Creation,83,Service Customers Source,1,4498.0
Production started,83,Service Desk,1,4632.515783601354
Production complete,83,Service Desk,1,4908.656879162442
Creation,84,Regular Customers Source,0,4282.0
Production started,84,Cash 2,0,4810.632178897241
Production complete,84,Cash 2,0,4926.84012950591
Creation,85,Regular Customers Source,0,4210.0
Production started,85,Cash 1,0,4907.306681738371
Production complete,85,Cash 1,0,5060.932277097378
Creation,86,Regular Customers Source,0,4453.0
Production started,86,Cash 2,0,4926.84012950591
Production complete,86,Cash 2,0,5109.249638873039
Creation,87,Service Customers Source,1,4809.0
Production started,87,Service Desk,1,4908.656879162442
Production complete,87,Service Desk,1,5111.597228475898
Creation,88,Regular Customers Source,0,5039.0
Production started,88,Cash 3,0,5039.0
Production complete,88,Cash 3,0,5174.511818967133
Creation,89,Regular Customers Source,0,4406.0
Production started,89,Cash 1,0,5060.932277097378
Production complete,89,Cash 1,0,5203.562767505449
Creation,90,Regular Customers Source,0,4606.0
Production started,90,Cash 2,0,5109.249638873039
Production complete,90,Cash 2,0,5258.1449839834195
Creation,91,Regular Customers Source,0,4556.0
Production started,91,Cash 1,0,5203.562767505449
Production complete,91,Cash 1,0,5324.5858855029055
Creation,92,Service Customers Source,1,5092.0
Production started,92,Service Desk,1,5111.597228475898
Production complete,92,Service Desk,1,5325.303076009985
Creation,93,Regular Customers Source,0,4740.0
Production started,93,Cash 1,0,5324.5858855029055
Production complete,93,Cash 1,0,5438.933780412436
Creation,94,Regular Customers Source,0,4802.0
Production started,94,Cash 2,0,5258.1449839834195
Production complete,94,Cash 2,0,5480.2994292877875
Creation,95,Regular Customers Source,0,2370.0
Production started,95,Service Desk,0,5325.303076009985
Production complete,95,Service Desk,0,5511.161206626023
Creation,96,Regular Customers Source,0,5409.0
Production started,96,Cash 3,0,5409.0
Production complete,96,Cash 3,0,5630.824167406591
Creation,97,Regular Customers Source,0,4927.0
Production started,97,Cash 1,0,5438.933780412436
Production complete,97,Cash 1,0,5642.602544983323
Creation,98,Regular Customers Source,0,4854.0
Production started,98,Cash 2,0,5480.2994292877875
Production complete,98,Cash 2,0,5684.64570535244
Creation,99,Regular Customers Source,0,4978.0
Production started,99,Cash 2,0,5684.64570535244
Production complete,99,Cash 2,0,5729.357159123173
Creation,100,Service Customers Source,1,5389.0
Production started,100,Service Desk,1,5511.161206626023
Production complete,100,Service Desk,1,5774.141940493851
Creation,101,Regular Customers Source,0,5086.0
Production started,101,Cash 1,0,5642.602544983323
Production complete,101,Cash 1,0,5869.075821809347
Creation,102,Regular Customers Source,0,5226.0
Production started,102,Cash 1,0,5869.075821809347
Production complete,102,Cash 1,0,5899.335526954184
Creation,103,Regular Customers Source,0,5159.0
Production started,103,Cash 2,0,5729.357159123173
Production complete,103,Cash 2,0,5945.915587458252
Creation,104,Service Customers Source,1,5705.0
Production started,104,Service Desk,1,5774.141940493851
Production complete,104,Service Desk,1,5952.267692908804
Creation,105,Regular Customers Source,0,5856.0
Production started,105,Cash 3,0,5856.0
