events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,56.0
Production started,1,Cash 1,0,56.0
Production complete,1,Cash 1,0,204.38869377513967
Creation,2,Regular Customers Source,0,183.0
Production started,2,Cash 2,0,183.0
Production complete,2,Cash 2,0,339.98841271698257
Creation,3,Regular Customers Source,0,126.0
Production started,3,Cash 1,0,204.38869377513967
Production complete,3,Cash 1,0,346.95795291180264
Creation,4,Regular Customers Source,0,319.0
Production started,4,Cash 2,0,339.98841271698257
Production complete,4,Cash 2,0,519.3514961901426
Creation,5,Service Customers Source,1,283.0
Production started,5,Service Desk,1,283.0
Production complete,5,Service Desk,1,523.8644565854026
Creation,6,Regular Customers Source,0,483.0
Production started,6,Service Desk,0,523.8644565854026
Production complete,6,Service Desk,0,601.1253585565988
Creation,7,Regular Customers Source,0,252.0
Production started,7,Cash 1,0,346.95795291180264
Production complete,7,Cash 1,0,609.5358590977313
Creation,8,Regular Customers Source,0,415.0
Production started,8,Cash 2,0,519.3514961901426
Production complete,8,Cash 2,0,662.465645979641
Creation,9,Regular Customers Source,0,364.0
Production started,9,Cash 1,0,609.5358590977313
Production complete,9,Cash 1,0,695.0463830167365
Creation,10,Regular Customers Source,0,553.0
Production started,10,Cash 2,0,662.465645979641
Production complete,10,Cash 2,0,794.0457237379269
Creation,11,Regular Customers Source,0,765.0
Production started,11,Cash 2,0,794.0457237379269
Production complete,11,Cash 2,0,835.068180799474
Creation,12,Regular Customers Source,0,599.0
Production started,12,Cash 1,0,695.0463830167365
Production complete,12,Cash 1,0,862.374712606759
Creation,13,Service Customers Source,1,577.0
Production started,13,Service Desk,1,601.1253585565988
Production complete,13,Service Desk,1,866.1384568399881
Creation,14,Regular Customers Source,0,831.0
Production started,14,Cash 2,0,835.068180799474
Production complete,14,Cash 2,0,936.4698308095047
Creation,15,Service Customers Source,1,859.0
Production started,15,Service Desk,1,866.1384568399881
Production complete,15,Service Desk,1,1040.6790485324386
Creation,16,Regular Customers Source,0,711.0
Production started,16,Cash 1,0,862.374712606759
Production complete,16,Cash 1,0,1068.963534517152
Creation,17,Regular Customers Source,0,961.0
Production started,17,Cash 2,0,961.0
Production complete,17,Cash 2,0,1095.9382453160715
Creation,18,Regular Customers Source,0,895.0
Production started,18,Cash 1,0,1068.963534517152
Production complete,18,Cash 1,0,1164.5032685525584
Creation,19,Regular Customers Source,0,659.0
