events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,59.0
Production started,1,Cash 1,0,59.0
Production complete,1,Cash 1,0,107.81145312791516
Creation,2,Regular Customers Source,0,98.0
Production started,2,Cash 1,0,107.81145312791516
Production complete,2,Cash 1,0,170.74292981479084
Creation,3,Regular Customers Source,0,170.0
Production started,3,Cash 1,0,170.74292981479084
Production complete,3,Cash 1,0,261.4237961272576
Creation,4,Regular Customers Source,0,353.0
Production started,4,Cash 2,0,353.0
Production complete,4,Cash 2,0,403.7321465040625
Creation,5,Regular Customers Source,0,218.0
Production started,5,Cash 1,0,261.4237961272576
Production complete,5,Cash 1,0,411.6266292706259
Creation,6,Service Customers Source,1,314.0
Production started,6,Service Desk,1,314.0
Production complete,6,Service Desk,1,424.2081588259991
Creation,7,Regular Customers Source,0,289.0
Production started,7,Cash 1,0,411.6266292706259
Production complete,7,Cash 1,0,436.210576678654
Creation,8,Regular Customers Source,0,425.0
Production started,8,Cash 1,0,436.210576678654
Production complete,8,Cash 1,0,666.1803915050567
Creation,9,Regular Customers Source,0,548.0
Production started,9,Cash 2,0,548.0
Production complete,9,Cash 2,0,766.6908999516866
Creation,10,Regular Customers Source,0,494.0
Production started,10,Cash 1,0,666.1803915050567
Production complete,10,Cash 1,0,819.6881394779548
Creation,11,Service Customers Source,1,633.0
Production started,11,Service Desk,1,633.0
Production complete,11,Service Desk,1,828.1289969061612
Creation,12,Regular Customers Source,0,687.0
Production started,12,Cash 1,0,819.6881394779548
Production complete,12,Cash 1,0,952.2401024654353
Creation,13,Regular Customers Source,0,632.0
Production started,13,Cash 2,0,766.6908999516866
Production complete,13,Cash 2,0,1048.6151397561557
Creation,14,Regular Customers Source,0,847.0
Production started,14,Cash 1,0,952.2401024654353
Production complete,14,Cash 1,0,1088.0902398908322
Creation,15,Regular Customers Source,0,740.0
Production started,15,Service Desk,0,828.1289969061612
Production complete,15,Service Desk,0,1090.7347799288234
Creation,16,Regular Customers Source,0,791.0
Production started,16,Cash 2,0,1048.6151397561557
Production complete,16,Cash 2,0,1183.9391843434637
Creation,17,Regular Customers Source,0,1101.0
Production started,17,Cash 2,0,1183.9391843434637
Production complete,17,Cash 2,0,1191.2370185711043
Creation,18,Regular Customers Source,0,984.0
Production started,18,Cash 1,0,1088.0902398908322
Production complete,18,Cash 1,0,1267.562336992627
Creation,19,Regular Customers Source,0,1202.0
Production started,19,Cash 2,0,1202.0
Production complete,19,Cash 2,0,1269.6047642117792
Creation,20,Regular Customers Source,0,1034.0
Production started,20,Cash 1,0,1267.562336992627
Production complete,20,Cash 1,0,1352.0185165013995
Creation,21,Regular Customers Source,0,1262.0
Production started,21,Cash 2,0,1269.6047642117792
Production complete,21,Cash 2,0,1385.8332993185288
Creation,22,Regular Customers Source,0,1160.0
Production started,22,Cash 1,0,1352.0185165013995
Production complete,22,Cash 1,0,1471.3610589663358
Creation,23,Service Customers Source,1,967.0
Production started,23,Service Desk,1,1090.7347799288234
Production complete,23,Service Desk,1,1478.6884036592646
Creation,24,Regular Customers Source,0,1373.0
Production started,24,Cash 1,0,1471.3610589663358
Production complete,24,Cash 1,0,1554.726945214679
Creation,25,Service Customers Source,1,1283.0
Production started,25,Service Desk,1,1478.6884036592646
Production complete,25,Service Desk,1,1625.8699899419196
Creation,26,Regular Customers Source,0,1313.0
Production started,26,Cash 2,0,1385.8332993185288
Production complete,26,Cash 2,0,1641.7160342443883
Creation,27,Regular Customers Source,0,1496.0
Production started,27,Cash 1,0,1554.726945214679
Production complete,27,Cash 1,0,1731.2549830508044
Creation,28,Regular Customers Source,0,1436.0
Production started,28,Cash 2,0,1641.7160342443883
Production complete,28,Cash 2,0,1740.9134986457227
Creation,29,Service Customers Source,1,1573.0
Production started,29,Service Desk,1,1625.8699899419196
Production complete,29,Service Desk,1,1819.0819313128336
Creation,30,Regular Customers Source,0,1541.0
Production started,30,Cash 1,0,1731.2549830508044
Production complete,30,Cash 1,0,1825.868192895334
Creation,31,Regular Customers Source,0,1591.0
Production started,31,Cash 1,0,1825.868192895334
Production complete,31,Cash 1,0,1972.9808164641656
Creation,32,Regular Customers Source,0,1653.0
Production started,32,Cash 2,0,1740.9134986457227
Production complete,32,Cash 2,0,1975.6524827445605
Creation,33,Regular Customers Source,0,921.0
Production started,33,Service Desk,0,1819.0819313128336
Production complete,33,Service Desk,0,2033.109533502803
Creation,34,Regular Customers Source,0,1778.0
Production started,34,Cash 1,0,1972.9808164641656
Production complete,34,Cash 1,0,2124.7531214119776
Creation,35,Regular Customers Source,0,1719.0
Production started,35,Cash 2,0,1975.6524827445605
Production complete,35,Cash 2,0,2171.4810340699364
Creation,36,Service Customers Source,1,1897.0
Production started,36,Service Desk,1,2033.109533502803
Production complete,36,Service Desk,1,2291.799673448317
Creation,37,Regular Customers Source,0,1901.0
Production started,37,Cash 1,0,2124.7531214119776
Production complete,37,Cash 1,0,2295.6043120696836
Creation,38,Regular Customers Source,0,2015.0
Production started,38,Cash 1,0,2295.6043120696836
Production complete,38,Cash 1,0,2371.3041865087603
Creation,39,Regular Customers Source,0,1958.0
Production started,39,Cash 2,0,2171.4810340699364
Production complete,39,Cash 2,0,2377.5865866937174
Creation,40,Regular Customers Source,0,2133.0
Production started,40,Cash 1,0,2371.3041865087603
Production complete,40,Cash 1,0,2542.2693351148796
Creation,41,Service Customers Source,1,2181.0
Production started,41,Service Desk,1,2291.799673448317
Production complete,41,Service Desk,1,2574.6131947035537
Creation,42,Regular Customers Source,0,2077.0
Production started,42,Cash 2,0,2377.5865866937174
Production complete,42,Cash 2,0,2596.6325468814057
Creation,43,Regular Customers Source,0,2260.0
Production started,43,Cash 1,0,2542.2693351148796
Production complete,43,Cash 1,0,2735.5278097710284
Creation,44,Regular Customers Source,0,2192.0
Production started,44,Cash 2,0,2596.6325468814057
Production complete,44,Cash 2,0,2847.460876364291
Creation,45,Service Customers Source,1,2497.0
Production started,45,Service Desk,1,2574.6131947035537
Production complete,45,Service Desk,1,2923.9477065933024
Creation,46,Regular Customers Source,0,2401.0
Production started,46,Cash 1,0,2735.5278097710284
Production complete,46,Cash 1,0,2987.3894408796455
Creation,47,Regular Customers Source,0,2473.0
Production started,47,Cash 2,0,2847.460876364291
Production complete,47,Cash 2,0,3043.4081667720443
Creation,48,Regular Customers Source,0,2528.0
Production started,48,Cash 1,0,2987.3894408796455
Production complete,48,Cash 1,0,3054.0849818591864
Creation,49,Regular Customers Source,0,2592.0
Production started,49,Cash 1,0,3054.0849818591864
Production complete,49,Cash 1,0,3159.066447765832
Creation,50,Regular Customers Source,0,2654.0
Production started,50,Cash 2,0,3043.4081667720443
Production complete,50,Cash 2,0,3213.0003433173842
Creation,51,Service Customers Source,1,2774.0
Production started,51,Service Desk,1,2923.9477065933024
Production complete,51,Service Desk,1,3246.400035309952
Creation,52,Regular Customers Source,0,2785.0
Production started,52,Cash 1,0,3159.066447765832
Production complete,52,Cash 1,0,3281.7169060788924
Creation,53,Regular Customers Source,0,2838.0
Production started,53,Cash 1,0,3281.7169060788924
Production complete,53,Cash 1,0,3328.6818666286736
Creation,54,Regular Customers Source,0,2724.0
Production started,54,Cash 2,0,3213.0003433173842
Production complete,54,Cash 2,0,3359.2244645197725
Creation,55,Service Customers Source,1,3067.0
Production started,55,Service Desk,1,3246.400035309952
Production complete,55,Service Desk,1,3437.1506356022496
Creation,56,Regular Customers Source,0,3011.0
Production started,56,Cash 1,0,3328.6818666286736
Production complete,56,Cash 1,0,3465.8302639363774
Creation,57,Regular Customers Source,0,2900.0
Production started,57,Cash 2,0,3359.2244645197725
Production complete,57,Cash 2,0,3469.6935421239045
Creation,58,Regular Customers Source,0,3113.0
Production started,58,Cash 1,0,3465.8302639363774
Production complete,58,Cash 1,0,3520.2815128376797
Creation,59,Regular Customers Source,0,3183.0
Production started,59,Cash 1,0,3520.2815128376797
Production complete,59,Cash 1,0,3687.9822239605983
Creation,60,Regular Customers Source,0,3065.0
Production started,60,Cash 2,0,3469.6935421239045
Production complete,60,Cash 2,0,3694.2944711116916
Creation,61,Service Customers Source,1,3361.0
Production started,61,Service Desk,1,3437.1506356022496
Production complete,61,Service Desk,1,3750.531124960613
Creation,62,Regular Customers Source,0,3297.0
Production started,62,Cash 1,0,3687.9822239605983
Production complete,62,Cash 1,0,3799.6400407804326
Creation,63,Regular Customers Source,0,3245.0
Production started,63,Cash 2,0,3694.2944711116916
Production complete,63,Cash 2,0,3847.4107818390185
Creation,64,Regular Customers Source,0,3413.0
Production started,64,Cash 2,0,3847.4107818390185
Production complete,64,Cash 2,0,3957.4430643548435
Creation,65,Regular Customers Source,0,3354.0
Production started,65,Cash 1,0,3799.6400407804326
Production complete,65,Cash 1,0,4008.2438749617186
Creation,66,Service Customers Source,1,3674.0
Production started,66,Service Desk,1,3750.531124960613
Production complete,66,Service Desk,1,4022.0363807516514
Creation,67,Regular Customers Source,0,3478.0
Production started,67,Cash 2,0,3957.4430643548435
Production complete,67,Cash 2,0,4169.97921644858
Creation,68,Service Customers Source,1,3957.0
Production started,68,Service Desk,1,4022.0363807516514
Production complete,68,Service Desk,1,4253.920846875421
Creation,69,Regular Customers Source,0,3538.0
Production started,69,Cash 1,0,4008.2438749617186
Production complete,69,Cash 1,0,4285.301882660975
Creation,70,Regular Customers Source,0,4128.0
Production started,70,Cash 3,0,4128.0
Production complete,70,Cash 3,0,4299.167073553662
Creation,71,Regular Customers Source,0,4239.0
Production started,71,Cash 3,0,4299.167073553662
Production complete,71,Cash 3,0,4418.604125857853
Creation,72,Regular Customers Source,0,3662.0
Production started,72,Cash 2,0,4169.97921644858
Production complete,72,Cash 2,0,4426.135016073267
Creation,73,Service Customers Source,1,4238.0
Production started,73,Service Desk,1,4253.920846875421
Production complete,73,Service Desk,1,4515.718660512142
