events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,59.0
Production started,1,Cash 1,0,59.0
Production complete,1,Cash 1,0,113.22021193071537
Creation,2,Regular Customers Source,0,118.0
Production started,2,Cash 1,0,118.0
Production complete,2,Cash 1,0,184.71015749768293
Creation,3,Regular Customers Source,0,193.0
Production started,3,Cash 1,0,193.0
Production complete,3,Cash 1,0,446.59357225008233
Creation,4,Regular Customers Source,0,310.0
Production started,4,Cash 2,0,310.0
Production complete,4,Cash 2,0,480.59423052318897
Creation,5,Regular Customers Source,0,383.0
Production started,5,Cash 2,0,480.59423052318897
Production complete,5,Cash 2,0,525.1934542476542
Creation,6,Service Customers Source,1,306.0
Production started,6,Service Desk,1,306.0
Production complete,6,Service Desk,1,677.546230597942
Creation,7,Regular Customers Source,0,576.0
Production started,7,Cash 2,0,576.0
Production complete,7,Cash 2,0,710.9362797099905
Creation,8,Regular Customers Source,0,251.0
Production started,8,Cash 1,0,446.59357225008233
Production complete,8,Cash 1,0,724.1893086717121
Creation,9,Service Customers Source,1,597.0
Production started,9,Service Desk,1,677.546230597942
Production complete,9,Service Desk,1,837.6245217680741
Creation,10,Regular Customers Source,0,638.0
Production started,10,Cash 2,0,710.9362797099905
Production complete,10,Cash 2,0,880.6131461396386
Creation,11,Regular Customers Source,0,510.0
Production started,11,Cash 1,0,724.1893086717121
Production complete,11,Cash 1,0,909.0118102159624
Creation,12,Regular Customers Source,0,446.0
Production started,12,Service Desk,0,837.6245217680741
Production complete,12,Service Desk,0,942.1769275098741
Creation,13,Regular Customers Source,0,703.0
Production started,13,Cash 1,0,909.0118102159624
Production complete,13,Cash 1,0,1068.5539356325685
Creation,14,Regular Customers Source,0,753.0
Production started,14,Cash 2,0,880.6131461396386
Production complete,14,Cash 2,0,1088.247494756601
Creation,15,Service Customers Source,1,892.0
Production started,15,Service Desk,1,942.1769275098741
Production complete,15,Service Desk,1,1178.8103562394247
Creation,16,Regular Customers Source,0,811.0
Production started,16,Cash 1,0,1068.5539356325685
Production complete,16,Cash 1,0,1224.7932437325724
Creation,17,Regular Customers Source,0,912.0
Production started,17,Cash 2,0,1088.247494756601
Production complete,17,Cash 2,0,1248.215634146785
Creation,18,Regular Customers Source,0,971.0
Production started,18,Cash 1,0,1224.7932437325724
Production complete,18,Cash 1,0,1313.5887062387485
Creation,19,Regular Customers Source,0,865.0
Production started,19,Service Desk,0,1178.8103562394247
Production complete,19,Service Desk,0,1368.4739809680857
Creation,20,Regular Customers Source,0,1023.0
Production started,20,Cash 2,0,1248.215634146785
Production complete,20,Cash 2,0,1377.4657431166556
Creation,21,Regular Customers Source,0,1073.0
Production started,21,Cash 1,0,1313.5887062387485
Production complete,21,Cash 1,0,1401.4984515643903
Creation,22,Regular Customers Source,0,1266.0
Production started,22,Cash 1,0,1401.4984515643903
Production complete,22,Cash 1,0,1550.5866032187696
Creation,23,Service Customers Source,1,1187.0
Production started,23,Service Desk,1,1368.4739809680857
Production complete,23,Service Desk,1,1621.035628709677
Creation,24,Regular Customers Source,0,1144.0
Production started,24,Cash 2,0,1377.4657431166556
Production complete,24,Cash 2,0,1631.7219271970907
Creation,25,Regular Customers Source,0,1323.0
Production started,25,Cash 1,0,1550.5866032187696
Production complete,25,Cash 1,0,1640.4275644634429
Creation,26,Service Customers Source,1,1489.0
Production started,26,Service Desk,1,1621.035628709677
Production complete,26,Service Desk,1,1772.7599618166535
Creation,27,Regular Customers Source,0,1476.0
Production started,27,Cash 1,0,1640.4275644634429
Production complete,27,Cash 1,0,1783.476893032431
Creation,28,Regular Customers Source,0,1600.0
Production started,28,Cash 1,0,1783.476893032431
Production complete,28,Cash 1,0,1822.9389006163406
Creation,29,Regular Customers Source,0,1208.0
Production started,29,Service Desk,0,1772.7599618166535
Production complete,29,Service Desk,0,1823.9371741390592
Creation,30,Regular Customers Source,0,1403.0
Production started,30,Cash 2,0,1631.7219271970907
Production complete,30,Cash 2,0,1840.2553105613713
Creation,31,Regular Customers Source,0,1655.0
Production started,31,Cash 1,0,1822.9389006163406
Production complete,31,Cash 1,0,1842.7802487627832
Creation,32,Regular Customers Source,0,1543.0
Production started,32,Cash 2,0,1840.2553105613713
Production complete,32,Cash 2,0,1989.2698145723964
Creation,33,Regular Customers Source,0,1841.0
Production started,33,Cash 1,0,1842.7802487627832
Production complete,33,Cash 1,0,2003.3902012702679
Creation,34,Regular Customers Source,0,1899.0
Production started,34,Cash 1,0,2003.3902012702679
Production complete,34,Cash 1,0,2018.665807049993
Creation,35,Service Customers Source,1,1784.0
Production started,35,Service Desk,1,1823.9371741390592
Production complete,35,Service Desk,1,2096.131838502013
Creation,36,Regular Customers Source,0,1720.0
Production started,36,Cash 2,0,1989.2698145723964
Production complete,36,Cash 2,0,2146.4667959345743
Creation,37,Regular Customers Source,0,1968.0
Production started,37,Cash 1,0,2018.665807049993
Production complete,37,Cash 1,0,2303.0604941666243
Creation,38,Regular Customers Source,0,2097.0
Production started,38,Cash 2,0,2146.4667959345743
Production complete,38,Cash 2,0,2367.105256384375
Creation,39,Service Customers Source,1,2085.0
Production started,39,Service Desk,1,2096.131838502013
Production complete,39,Service Desk,1,2387.5782034563854
Creation,40,Regular Customers Source,0,2153.0
Production started,40,Cash 2,0,2367.105256384375
Production complete,40,Cash 2,0,2464.3006430808837
Creation,41,Service Customers Source,1,2385.0
Production started,41,Service Desk,1,2387.5782034563854
Production complete,41,Service Desk,1,2500.7087015551538
Creation,42,Regular Customers Source,0,2033.0
Production started,42,Cash 1,0,2303.0604941666243
Production complete,42,Cash 1,0,2518.8619797403508
Creation,43,Regular Customers Source,0,2290.0
Production started,43,Cash 2,0,2464.3006430808837
Production complete,43,Cash 2,0,2581.3309265359785
Creation,44,Regular Customers Source,0,1783.0
Production started,44,Service Desk,0,2500.7087015551538
Production complete,44,Service Desk,0,2640.2042095448473
Creation,45,Regular Customers Source,0,2217.0
Production started,45,Cash 1,0,2518.8619797403508
Production complete,45,Cash 1,0,2673.4317521620796
Creation,46,Regular Customers Source,0,2383.0
Production started,46,Cash 2,0,2581.3309265359785
Production complete,46,Cash 2,0,2679.065150868093
Creation,47,Regular Customers Source,0,2335.0
Production started,47,Cash 1,0,2673.4317521620796
Production complete,47,Cash 1,0,2700.1527146928743
Creation,48,Regular Customers Source,0,2520.0
Production started,48,Cash 1,0,2700.1527146928743
Production complete,48,Cash 1,0,2814.2096315619965
Creation,49,Regular Customers Source,0,2446.0
Production started,49,Service Desk,0,2640.2042095448473
Production complete,49,Service Desk,0,2870.323980973484
Creation,50,Regular Customers Source,0,2571.0
Production started,50,Cash 2,0,2679.065150868093
Production complete,50,Cash 2,0,2947.4264680698184
Creation,51,Regular Customers Source,0,2748.0
Production started,51,Cash 1,0,2814.2096315619965
Production complete,51,Cash 1,0,2978.282775107475
Creation,52,Service Customers Source,1,2720.0
Production started,52,Service Desk,1,2870.323980973484
Production complete,52,Service Desk,1,3070.0963647603203
Creation,53,Regular Customers Source,0,2623.0
Production started,53,Cash 2,0,2947.4264680698184
Production complete,53,Cash 2,0,3143.7396021198624
Creation,54,Regular Customers Source,0,2802.0
Production started,54,Cash 1,0,2978.282775107475
Production complete,54,Cash 1,0,3211.5666631153586
Creation,55,Regular Customers Source,0,2932.0
Production started,55,Cash 2,0,3143.7396021198624
Production complete,55,Cash 2,0,3240.8616890526464
Creation,56,Regular Customers Source,0,2875.0
Production started,56,Cash 1,0,3211.5666631153586
Production complete,56,Cash 1,0,3319.263246644547
Creation,57,Regular Customers Source,0,3052.0
Production started,57,Cash 2,0,3240.8616890526464
Production complete,57,Cash 2,0,3373.2935132983025
Creation,58,Service Customers Source,1,3025.0
Production started,58,Service Desk,1,3070.0963647603203
Production complete,58,Service Desk,1,3380.1480890654093
Creation,59,Service Customers Source,1,3330.0
Production started,59,Service Desk,1,3380.1480890654093
Production complete,59,Service Desk,1,3530.894188304155
Creation,60,Regular Customers Source,0,2986.0
Production started,60,Cash 1,0,3319.263246644547
Production complete,60,Cash 1,0,3571.4072161938175
Creation,61,Regular Customers Source,0,3168.0
Production started,61,Cash 2,0,3373.2935132983025
Production complete,61,Cash 2,0,3583.0244981076676
Creation,62,Regular Customers Source,0,3289.0
Production started,62,Cash 2,0,3583.0244981076676
Production complete,62,Cash 2,0,3638.813415355857
Creation,63,Regular Customers Source,0,2698.0
Production started,63,Service Desk,0,3530.894188304155
Production complete,63,Service Desk,0,3690.9221734419857
Creation,64,Regular Customers Source,0,3227.0
Production started,64,Cash 1,0,3571.4072161938175
Production complete,64,Cash 1,0,3717.3965485634344
Creation,65,Regular Customers Source,0,3412.0
Production started,65,Cash 2,0,3638.813415355857
Production complete,65,Cash 2,0,3770.5011818403245
Creation,66,Regular Customers Source,0,3350.0
Production started,66,Cash 1,0,3717.3965485634344
Production complete,66,Cash 1,0,3775.0781812969763
Creation,67,Regular Customers Source,0,3457.0
Production started,67,Cash 1,0,3775.0781812969763
Production complete,67,Cash 1,0,3893.277484375918
Creation,68,Service Customers Source,1,3596.0
Production started,68,Service Desk,1,3690.9221734419857
Production complete,68,Service Desk,1,3913.404632349795
Creation,69,Regular Customers Source,0,3515.0
Production started,69,Cash 2,0,3770.5011818403245
Production complete,69,Cash 2,0,3945.1072743797627
Creation,70,Regular Customers Source,0,3632.0
Production started,70,Cash 1,0,3893.277484375918
Production complete,70,Cash 1,0,4041.160431588881
Creation,71,Regular Customers Source,0,3698.0
Production started,71,Cash 2,0,3945.1072743797627
Production complete,71,Cash 2,0,4116.099445441596
Creation,72,Service Customers Source,1,3885.0
Production started,72,Service Desk,1,3913.404632349795
Production complete,72,Service Desk,1,4148.8561966867455
Creation,73,Regular Customers Source,0,3108.0
Production started,73,Service Desk,0,4148.8561966867455
Production complete,73,Service Desk,0,4278.7623039597165
