events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,174.0
Production started,1,Cash 2,0,174.0
Production complete,1,Cash 2,0,257.7970666197077
Creation,2,Regular Customers Source,0,63.0
Production started,2,Cash 1,0,63.0
Production complete,2,Cash 1,0,319.95773768613304
Creation,3,Regular Customers Source,0,118.0
Production started,3,Cash 1,0,319.95773768613304
Production complete,3,Cash 1,0,385.41749203608566
Creation,4,Regular Customers Source,0,233.0
Production started,4,Cash 2,0,257.7970666197077
Production complete,4,Cash 2,0,393.8056056471318
Creation,5,Regular Customers Source,0,298.0
Production started,5,Cash 2,0,393.8056056471318
Production complete,5,Cash 2,0,502.42283136905576
Creation,6,Service Customers Source,1,306.0
Production started,6,Service Desk,1,306.0
Production complete,6,Service Desk,1,524.8940587843942
Creation,7,Regular Customers Source,0,352.0
Production started,7,Cash 1,0,385.41749203608566
Production complete,7,Cash 1,0,608.1764198095238
Creation,8,Regular Customers Source,0,585.0
Production started,8,Service Desk,0,585.0
Production complete,8,Service Desk,0,757.7575879995454
Creation,9,Regular Customers Source,0,468.0
Production started,9,Cash 2,0,502.42283136905576
Production complete,9,Cash 2,0,768.2802882607776
Creation,10,Regular Customers Source,0,416.0
Production started,10,Cash 1,0,608.1764198095238
Production complete,10,Cash 1,0,802.4919112674331
Creation,11,Regular Customers Source,0,520.0
Production started,11,Cash 2,0,768.2802882607776
Production complete,11,Cash 2,0,824.4397624963547
Creation,12,Regular Customers Source,0,626.0
Production started,12,Cash 1,0,802.4919112674331
Production complete,12,Cash 1,0,912.3263934503883
Creation,13,Regular Customers Source,0,691.0
Production started,13,Cash 1,0,912.3263934503883
Production complete,13,Cash 1,0,1015.675830236579
Creation,14,Service Customers Source,1,611.0
Production started,14,Service Desk,1,757.7575879995454
Production complete,14,Service Desk,1,1065.1848966092584
Creation,15,Regular Customers Source,0,826.0
Production started,15,Cash 2,0,826.0
Production complete,15,Cash 2,0,1112.4645838767738
Creation,16,Regular Customers Source,0,943.0
Production started,16,Cash 1,0,1015.675830236579
Production complete,16,Cash 1,0,1132.696108175934
Creation,17,Regular Customers Source,0,1015.0
Production started,17,Cash 1,0,1132.696108175934
Production complete,17,Cash 1,0,1201.5258726782615
Creation,18,Service Customers Source,1,910.0
Production started,18,Service Desk,1,1065.1848966092584
Production complete,18,Service Desk,1,1264.8080826404107
Creation,19,Regular Customers Source,0,884.0
Production started,19,Cash 2,0,1112.4645838767738
Production complete,19,Cash 2,0,1301.3411253558004
Creation,20,Service Customers Source,1,1182.0
Production started,20,Service Desk,1,1264.8080826404107
Production complete,20,Service Desk,1,1365.4277233613425
Creation,21,Regular Customers Source,0,1071.0
Production started,21,Cash 1,0,1201.5258726782615
Production complete,21,Cash 1,0,1411.393910724949
Creation,22,Regular Customers Source,0,1137.0
Production started,22,Cash 2,0,1301.3411253558004
Production complete,22,Cash 2,0,1429.0791648868005
Creation,23,Regular Customers Source,0,760.0
