events,numbers,stations,serviceCustomer,times
Creation,1,Regular Customers Source,0,57.0
Production started,1,Cash 1,0,57.0
Production complete,1,Cash 1,0,217.4055840184494
Creation,2,Regular Customers Source,0,122.0
Production started,2,Cash 1,0,217.4055840184494
Production complete,2,Cash 1,0,327.6256702341625
Creation,3,Regular Customers Source,0,180.0
Production started,3,Cash 2,0,180.0
Production complete,3,Cash 2,0,389.62916585647923
Creation,4,Regular Customers Source,0,244.0
Production started,4,Cash 1,0,327.6256702341625
Production complete,4,Cash 1,0,458.53617428571965
Creation,5,Service Customers Source,1,318.0
Production started,5,Service Desk,1,318.0
Production complete,5,Service Desk,1,532.3944461644297
Creation,6,Regular Customers Source,0,310.0
Production started,6,Cash 2,0,389.62916585647923
Production complete,6,Cash 2,0,582.7008401116707
Creation,7,Regular Customers Source,0,363.0
Production started,7,Cash 1,0,458.53617428571965
Production complete,7,Cash 1,0,677.765391997531
Creation,8,Regular Customers Source,0,496.0
Production started,8,Cash 1,0,677.765391997531
Production complete,8,Cash 1,0,700.5064943168597
Creation,9,Regular Customers Source,0,564.0
Production started,9,Service Desk,0,564.0
Production complete,9,Service Desk,0,713.0019049730303
Creation,10,Regular Customers Source,0,436.0
Production started,10,Cash 2,0,582.7008401116707
Production complete,10,Cash 2,0,724.7983105939859
Creation,11,Regular Customers Source,0,616.0
Production started,11,Cash 2,0,724.7983105939859
Production complete,11,Cash 2,0,838.147242394328
Creation,12,Regular Customers Source,0,681.0
Production started,12,Cash 1,0,700.5064943168597
Production complete,12,Cash 1,0,857.2643737810697
Creation,13,Regular Customers Source,0,737.0
Production started,13,Cash 1,0,857.2643737810697
Production complete,13,Cash 1,0,888.8017259060343
Creation,14,Regular Customers Source,0,799.0
Production started,14,Cash 2,0,838.147242394328
Production complete,14,Cash 2,0,930.2559733526315
Creation,15,Regular Customers Source,0,856.0
Production started,15,Cash 2,0,930.2559733526315
Production complete,15,Cash 2,0,1039.0376917560345
Creation,16,Regular Customers Source,0,1023.0
Production started,16,Cash 2,0,1039.0376917560345
Production complete,16,Cash 2,0,1043.609219177324
Creation,17,Service Customers Source,1,619.0
Production started,17,Service Desk,1,713.0019049730303
Production complete,17,Service Desk,1,1059.0139429770088
Creation,18,Regular Customers Source,0,909.0
Production started,18,Cash 1,0,909.0
Production complete,18,Cash 1,0,1067.3535890834733
Creation,19,Regular Customers Source,0,957.0
Production started,19,Cash 1,0,1067.3535890834733
Production complete,19,Cash 1,0,1220.253666576609
Creation,20,Regular Customers Source,0,1155.0
Production started,20,Cash 2,0,1155.0
Production complete,20,Cash 2,0,1319.3271107988303
Creation,21,Service Customers Source,1,922.0
Production started,21,Service Desk,1,1059.0139429770088
Production complete,21,Service Desk,1,1350.8881128720327
Creation,22,Regular Customers Source,0,1086.0
Production started,22,Cash 1,0,1220.253666576609
Production complete,22,Cash 1,0,1359.492455573845
Creation,23,Regular Customers Source,0,1297.0
Production started,23,Cash 2,0,1319.3271107988303
Production complete,23,Cash 2,0,1405.8150701138077
Creation,24,Regular Customers Source,0,1236.0
Production started,24,Cash 1,0,1359.492455573845
Production complete,24,Cash 1,0,1494.3439646536192
Creation,25,Regular Customers Source,0,1345.0
Production started,25,Cash 2,0,1405.8150701138077
Production complete,25,Cash 2,0,1601.159855017855
Creation,26,Regular Customers Source,0,1398.0
Production started,26,Cash 1,0,1494.3439646536192
Production complete,26,Cash 1,0,1661.194404791278
Creation,27,Service Customers Source,1,1212.0
Production started,27,Service Desk,1,1350.8881128720327
Production complete,27,Service Desk,1,1687.6527168793864
Creation,28,Regular Customers Source,0,1536.0
Production started,28,Cash 1,0,1661.194404791278
Production complete,28,Cash 1,0,1786.1852096658918
Creation,29,Regular Customers Source,0,1474.0
Production started,29,Cash 2,0,1601.159855017855
Production complete,29,Cash 2,0,1864.0995142672257
Creation,30,Service Customers Source,1,1488.0
Production started,30,Service Desk,1,1687.6527168793864
Production complete,30,Service Desk,1,2033.577451788631
Creation,31,Regular Customers Source,0,1593.0
Production started,31,Cash 1,0,1786.1852096658918
Production complete,31,Cash 1,0,2046.5784181398506
Creation,32,Regular Customers Source,0,1649.0
Production started,32,Cash 2,0,1864.0995142672257
Production complete,32,Cash 2,0,2058.800944041582
Creation,33,Regular Customers Source,0,1765.0
Production started,33,Cash 1,0,2046.5784181398506
Production complete,33,Cash 1,0,2134.556410293434
Creation,34,Regular Customers Source,0,1892.0
Production started,34,Cash 2,0,2058.800944041582
Production complete,34,Cash 2,0,2178.6564836884713
Creation,35,Regular Customers Source,0,1825.0
Production started,35,Cash 1,0,2134.556410293434
Production complete,35,Cash 1,0,2232.332445832356
Creation,36,Regular Customers Source,0,2016.0
Production started,36,Cash 1,0,2232.332445832356
Production complete,36,Cash 1,0,2295.5956037885862
Creation,37,Service Customers Source,1,1752.0
Production started,37,Service Desk,1,2033.577451788631
Production complete,37,Service Desk,1,2338.39811281083
Creation,38,Regular Customers Source,0,1949.0
Production started,38,Cash 2,0,2178.6564836884713
Production complete,38,Cash 2,0,2358.4309482338163
Creation,39,Regular Customers Source,0,2074.0
Production started,39,Cash 2,0,2358.4309482338163
Production complete,39,Cash 2,0,2393.8653013432177
Creation,40,Regular Customers Source,0,2127.0
Production started,40,Cash 1,0,2295.5956037885862
Production complete,40,Cash 1,0,2463.8485244286962
Creation,41,Regular Customers Source,0,2232.0
Production started,41,Cash 2,0,2393.8653013432177
Production complete,41,Cash 2,0,2484.650822024172
Creation,42,Regular Customers Source,0,2174.0
Production started,42,Cash 1,0,2463.8485244286962
Production complete,42,Cash 1,0,2530.2807407911077
Creation,43,Regular Customers Source,0,2390.0
Production started,43,Cash 2,0,2484.650822024172
Production complete,43,Cash 2,0,2554.824615358381
Creation,44,Service Customers Source,1,2044.0
Production started,44,Service Desk,1,2338.39811281083
Production complete,44,Service Desk,1,2572.9938274713104
Creation,45,Regular Customers Source,0,2286.0
Production started,45,Cash 1,0,2530.2807407911077
Production complete,45,Cash 1,0,2656.7644833802015
Creation,46,Regular Customers Source,0,2334.0
Production started,46,Cash 1,0,2656.7644833802015
Production complete,46,Cash 1,0,2714.014781524909
Creation,47,Regular Customers Source,0,2453.0
Production started,47,Cash 2,0,2554.824615358381
Production complete,47,Cash 2,0,2716.1448234217696
Creation,48,Regular Customers Source,0,2575.0
Production started,48,Cash 1,0,2714.014781524909
Production complete,48,Cash 1,0,2870.0524856952843
Creation,49,Service Customers Source,1,2341.0
Production started,49,Service Desk,1,2572.9938274713104
Production complete,49,Service Desk,1,2925.0033490883197
Creation,50,Regular Customers Source,0,2513.0
Production started,50,Cash 2,0,2716.1448234217696
Production complete,50,Cash 2,0,2935.8170440011972
Creation,51,Regular Customers Source,0,2714.0
Production started,51,Cash 1,0,2870.0524856952843
Production complete,51,Cash 1,0,3106.1403995978035
Creation,52,Regular Customers Source,0,2779.0
Production started,52,Cash 1,0,3106.1403995978035
Production complete,52,Cash 1,0,3178.6289505659943
Creation,53,Regular Customers Source,0,2638.0
Production started,53,Cash 2,0,2935.8170440011972
Production complete,53,Cash 2,0,3202.1924752148257
Creation,54,Service Customers Source,1,2629.0
Production started,54,Service Desk,1,2925.0033490883197
Production complete,54,Service Desk,1,3206.280077479185
Creation,55,Regular Customers Source,0,2877.0
Production started,55,Cash 1,0,3178.6289505659943
Production complete,55,Cash 1,0,3329.013762564544
Creation,56,Regular Customers Source,0,2827.0
Production started,56,Cash 2,0,3202.1924752148257
Production complete,56,Cash 2,0,3337.4806640639204
Creation,57,Service Customers Source,1,2935.0
Production started,57,Service Desk,1,3206.280077479185
Production complete,57,Service Desk,1,3428.3705562679797
Creation,58,Regular Customers Source,0,2991.0
Production started,58,Cash 1,0,3329.013762564544
Production complete,58,Cash 1,0,3467.012620117158
Creation,59,Regular Customers Source,0,2937.0
Production started,59,Cash 2,0,3337.4806640639204
Production complete,59,Cash 2,0,3506.581330523768
Creation,60,Regular Customers Source,0,3155.0
Production started,60,Cash 1,0,3467.012620117158
Production complete,60,Cash 1,0,3619.397348349661
Creation,61,Service Customers Source,1,3247.0
Production started,61,Service Desk,1,3428.3705562679797
Production complete,61,Service Desk,1,3669.732367240449
Creation,62,Regular Customers Source,0,3043.0
Production started,62,Cash 2,0,3506.581330523768
Production complete,62,Cash 2,0,3728.426171926763
Creation,63,Regular Customers Source,0,3214.0
Production started,63,Cash 1,0,3619.397348349661
Production complete,63,Cash 1,0,3797.1925718059792
Creation,64,Regular Customers Source,0,3268.0
Production started,64,Cash 2,0,3728.426171926763
Production complete,64,Cash 2,0,3886.5166427431536
Creation,65,Service Customers Source,1,3572.0
Production started,65,Service Desk,1,3669.732367240449
Production complete,65,Service Desk,1,3896.369244770169
Creation,66,Regular Customers Source,0,3320.0
Production started,66,Cash 1,0,3797.1925718059792
Production complete,66,Cash 1,0,3996.4372992469366
Creation,67,Regular Customers Source,0,3384.0
Production started,67,Cash 2,0,3886.5166427431536
Production complete,67,Cash 2,0,4059.1457064495166
Creation,68,Regular Customers Source,0,3518.0
Production started,68,Cash 1,0,3996.4372992469366
Production complete,68,Cash 1,0,4175.249412072257
Creation,69,Service Customers Source,1,3854.0
Production started,69,Service Desk,1,3896.369244770169
Production complete,69,Service Desk,1,4192.385309085688
Creation,70,Regular Customers Source,0,3573.0
Production started,70,Cash 2,0,4059.1457064495166
Production complete,70,Cash 2,0,4299.509033017906
Creation,71,Regular Customers Source,0,4127.0
Production started,71,Cash 3,0,4127.0
Production complete,71,Cash 3,0,4320.176464981404
Creation,72,Regular Customers Source,0,3722.0
Production started,72,Cash 2,0,4299.509033017906
Production complete,72,Cash 2,0,4376.607749658342
Creation,73,Regular Customers Source,0,4243.0
Production started,73,Cash 3,0,4320.176464981404
Production complete,73,Cash 3,0,4422.619374202574
Creation,74,Regular Customers Source,0,3626.0
Production started,74,Cash 1,0,4175.249412072257
Production complete,74,Cash 1,0,4428.128644718824
Creation,75,Service Customers Source,1,4151.0
Production started,75,Service Desk,1,4192.385309085688
Production complete,75,Service Desk,1,4443.596112802936
Creation,76,Regular Customers Source,0,3787.0
Production started,76,Cash 2,0,4376.607749658342
Production complete,76,Cash 2,0,4490.0021481236445
Creation,77,Regular Customers Source,0,3676.0
Production started,77,Cash 1,0,4428.128644718824
Production complete,77,Cash 1,0,4525.752105227892
Creation,78,Regular Customers Source,0,3851.0
Production started,78,Cash 1,0,4525.752105227892
Production complete,78,Cash 1,0,4532.775982517989
Creation,79,Regular Customers Source,0,1704.0
Production started,79,Service Desk,0,4443.596112802936
Production complete,79,Service Desk,0,4613.4325114140765
Creation,80,Regular Customers Source,0,4025.0
Production started,80,Cash 1,0,4532.775982517989
Production complete,80,Cash 1,0,4633.205082012542
Creation,81,Regular Customers Source,0,4299.0
Production started,81,Cash 3,0,4422.619374202574
Production complete,81,Cash 3,0,4667.964834774798
Creation,82,Service Customers Source,1,4462.0
Production started,82,Service Desk,1,4613.4325114140765
Production complete,82,Service Desk,1,4698.696733624909
Creation,83,Regular Customers Source,0,4176.0
Production started,83,Cash 1,0,4633.205082012542
Production complete,83,Cash 1,0,4702.6887450654
Creation,84,Regular Customers Source,0,3913.0
Production started,84,Cash 2,0,4490.0021481236445
Production complete,84,Cash 2,0,4731.822362162681
Creation,85,Regular Customers Source,0,4353.0
Production started,85,Cash 3,0,4667.964834774798
Production complete,85,Cash 3,0,4849.739921205296
Creation,86,Regular Customers Source,0,3098.0
Production started,86,Service Desk,0,4698.696733624909
Production complete,86,Service Desk,0,4915.948171170008
Creation,87,Regular Customers Source,0,4077.0
Production started,87,Cash 2,0,4731.822362162681
Production complete,87,Cash 2,0,4963.910715004032
Creation,88,Regular Customers Source,0,4531.0
Production started,88,Cash 1,0,4702.6887450654
Production complete,88,Cash 1,0,4972.224445692913
Creation,89,Regular Customers Source,0,4474.0
Production started,89,Cash 3,0,4849.739921205296
Production complete,89,Cash 3,0,5008.201112081515
Creation,90,Regular Customers Source,0,4412.0
Production started,90,Cash 2,0,4963.910715004032
Production complete,90,Cash 2,0,5055.8591265221185
Creation,91,Regular Customers Source,0,4594.0
Production started,91,Cash 1,0,4972.224445692913
Production complete,91,Cash 1,0,5146.234524513018
Creation,92,Regular Customers Source,0,4774.0
Production started,92,Cash 2,0,5055.8591265221185
Production complete,92,Cash 2,0,5148.652342480151
Creation,93,Service Customers Source,1,4756.0
Production started,93,Service Desk,1,4915.948171170008
Production complete,93,Service Desk,1,5157.297498732865
Creation,94,Regular Customers Source,0,4715.0
Production started,94,Cash 3,0,5008.201112081515
Production complete,94,Cash 3,0,5191.45705634467
Creation,95,Regular Customers Source,0,4651.0
Production started,95,Cash 1,0,5146.234524513018
Production complete,95,Cash 1,0,5293.430190551597
Creation,96,Regular Customers Source,0,4949.0
Production started,96,Cash 2,0,5148.652342480151
Production complete,96,Cash 2,0,5309.539761736522
Creation,97,Regular Customers Source,0,4830.0
Production started,97,Cash 1,0,5293.430190551597
Production complete,97,Cash 1,0,5407.123428161008
Creation,98,Regular Customers Source,0,4890.0
Production started,98,Cash 3,0,5191.45705634467
Production complete,98,Cash 3,0,5409.545237606944
Creation,99,Service Customers Source,1,5037.0
Production started,99,Service Desk,1,5157.297498732865
Production complete,99,Service Desk,1,5443.3835805144045
Creation,100,Regular Customers Source,0,5069.0
Production started,100,Cash 2,0,5309.539761736522
Production complete,100,Cash 2,0,5489.7565694653695
Creation,101,Regular Customers Source,0,5012.0
Production started,101,Cash 3,0,5409.545237606944
Production complete,101,Cash 3,0,5545.8447451385455
Creation,102,Regular Customers Source,0,5143.0
Production started,102,Cash 1,0,5407.123428161008
Production complete,102,Cash 1,0,5575.646464477921
Creation,103,Regular Customers Source,0,5206.0
Production started,103,Cash 2,0,5489.7565694653695
Production complete,103,Cash 2,0,5671.696306164742
Creation,104,Regular Customers Source,0,5267.0
Production started,104,Cash 3,0,5545.8447451385455
Production complete,104,Cash 3,0,5677.539334379439
Creation,105,Service Customers Source,1,5342.0
Production started,105,Service Desk,1,5443.3835805144045
Production complete,105,Service Desk,1,5746.849282115534
Creation,106,Regular Customers Source,0,5327.0
Production started,106,Cash 1,0,5575.646464477921
Production complete,106,Cash 1,0,5748.602266020747
